get_info,get_aggregate,get_employees,get_salary,get_salary_aggregate,get_salary_employees,get_date,get_date_range_aggregate,get_date_range_employees,get_hierarchy_up,get_hierarchy_down
What was {elijiah gray|name} {terminated|employment_status} for?,{Percentage|function} of Employees in department with prior experience,employees that are {it manager - infra|position},Does {Travis Ozark|name} {paycheck|money} {6 figs|sys_number}?,how much do {not a citizen|citizendesc} {earn|money} on {average|function} {hourly|time_recur},{non us citizen|citizendesc} workers who {makes|money} the {least|extreme},Which month does {mia|name} have his {bday|dob},,which {from abroad|citizendesc} workers have a {birthday|dob} in {1960|time_interval},{Jean|name} {lead|manager} personnel,Find me employees list with {manager name|manager} being {Michael|name}
what is the {position|position}  of {bruno|name},What {ratio|function} of employees are {us citizen|citizendesc}?,employees in their {20|sys_number}'s,What does {Louis Punjabhi|name}'s {earnings|money} look like?,{non-citizen|citizendesc} {pay|money} {sum|function},{us citizen|citizendesc} {salaries|money},What is the {date of hiring|employment_action} for {kamrin|name},,get me a list of {non citizen|citizendesc} workersthat have their {birthdays|dob} in the {1970's|time_interval},is {Mildred|name} {management|manager} {Anthony Cisco|name},Who is the lady or guy that {Lindsey Langford|name} is {incharge|manager} of?
does {Daniel|name} live in {UT|state},{How many|function} employees are named {Ivan|name}?,{director of operations|position},{Rex England|name} {earns|money} how much amt {day by day|time_recur},what is the {typical|function} {salary|money} of {us citizen|citizendesc} people,find me the {not citizens|citizendesc} employees {making|money} the {minimum|extreme},What was {Anna Von Massenbach|name}'s {hiring|employment_action} date?,,which {eligble non citizen|citizendesc} people have a {birthday|dob} in {1960|time_interval},Who is {Kathleen|name}'s {manager|manager}?,who is the person that is being {worked for|manager} for by {carol anderson|name}
{nan|name} {performance|performance_score} what is it,Tell me the {fraction|function} of employees who are {single|maritaldesc}?,Who was {hired|employment_action} based on a {referral|employee_source}?,{charles|name} {every day|time_recur} {paycheck|money},{eligible non-citizens|citizendesc} {pay|money} {sum|function},{not citizens|citizendesc} employees who {makes|money} the {least|extreme},{DOB|dob} of {Karen Mancuso|name},,which {from abroad|citizendesc} employees have a {birthday|dob} in {1960|time_interval},who all is {manager|manager} for {Jenna Dietrich|name},{Courtney Beatrice|name} is the {mentor|manager} for which of our employees
What is {phil close|name}'s {race|racedesc} ?,{How many|function} employees are out of state?,give me a list of employes that are based in {MA|state},"According to the {payroll|money}, how much does {Carol Anderson|name} {earn|money}?",how much do {immigrant|citizendesc} {earn|money} on {average|function} {hourly|time_recur},{paychecks|money} {non citizen|citizendesc},how long has {Karen|name} {been with the company|employment_action},,{us citizen|citizendesc} employees were {fired|employment_action} in the {last|date_compare} {five years|sys_duration}?,{Taisha|name} {managed by|manager} name,is {Joanne Handschiegl|name} the manager of {Nina Panjwani|name}?
Is {42|age} the {age|age} {lori|name}?,Get me the {cumulative|function} {age|age} of employees in the {sales|department} department and {it/is|department} department?,Show {separated|maritaldesc} employees,What is cisco giving {Mia Brown|name} to {pay|money} her,what do {not a citizen|citizendesc} {make|money} on {average|function} {yearly|time_recur},{non citizen|citizendesc} people who {makes|money} the {least|extreme},how long has it been since {ivan|name} has {been with the company|employment_action},,which {citizen|citizendesc} workers {joined|employment_action} in {2012|sys_time},get me ms. {sean quinn|name}'s {supervisor|manager} full name,"{Taisha Goble|name} is a {boss|manager}, right?"
give me {kissy SullMia|name}'s {race|racedesc} please,{cumulative|function} employees who are minorities?,"{top|extreme} {10|sys_number} {oldest|age} employees, who are they?",Does {ivan rogers|name} get {$70k|sys_amount-of-money} in {pay|money}?,whats the {average|function} {pay|money} for {us citizen|citizendesc} workers,{paychecks|money} {us citizen|citizendesc},how long has {mia|name} {been with the company|employment_action}?,,which {non-citizen|citizendesc} workers {joined|employment_action} in {2012|sys_time},{lead|manager} employee for the employee {Evelyn Girifalco|name},employees that are {under|comparator} and currently {reporting to|manager} the boss: {Cherly|name}?
Which {department|department} does {Julia Soto|name} work for?,{percentage|function} of employees who say they are {female|sex}?,Which employees have the {min|extreme} {performance score|performance_score}?,How much does Mr. {oliver|name} have in {earnings|money}?,what is the {typical|function} {salary|money} of {immigrant|citizendesc} people,which {non citizen|citizendesc} employees {earns|money} the {most|extreme},how long is it that {george|name} has {been with the company|employment_action}?,,get me a list of {immigrants|citizendesc} employeesthat have their {birthdays|dob} in the {1970's|time_interval},get me ms. {jonathan|name}'s {leader|manager} full name,get me a list of all of the employees who {report to|manager} {Barbara|name} if there are any
what is the {performance|performance_score} of {george|name},{How many|function} of employees are {married|maritaldesc}?,who is {married|maritaldesc},{punjabhi|name}s {income|money} {every hour|time_recur},whats the {average|function} {pay|money} for {not citizens|citizendesc} employees,{non-citizens|citizendesc} {salaries|money},{mia|name} has {been with the company|employment_action} for how long?,,{non us citizen|citizendesc} employees were {fired|employment_action} in the {last|date_compare} {five years|sys_duration}?,I wanna know the person who {linda|name} {reports to|manager} at the company,Is anyone {reporting|manager} to {susan|name} or is she not a boss
what is {anita|name}'s age?,{percent|function} employees are minorities?,Which employees were found via {website banner ads|employee_source}?,Does {julia soto|name} {make|money} {6 figures|sys_number}?,whats the {average|function} {pay|money} for {us citizen|citizendesc} people,which {from abroad|citizendesc} workers {earns|money} the {most|extreme},{mia|name} has {been with the company|employment_action} for how long exactly?,,which {non us citizen|citizendesc} employees {joined|employment_action} in {2012|sys_time},Please give me which employees is {Rachael Baczenski|name} is working {under|manager},employees who have a {report to|manager} that goes by the name {Latia|name}
{ivan|name}'s {department|department} is what,{combined|function} {number of|function} employees from different states?,list of employees that are based in {TN|state},"{on a monthly basis|time_recur} {earnings|money}, {Sam Athwal|name}",what is the {average|function} {pay|money} for {non citizen|citizendesc} workers,{salaries|money} of {not a citizen|citizendesc},,,{not a citizen|citizendesc} employees were {fired|employment_action} in the {last|date_compare} {five years|sys_duration}?,employee list with {manager|manager} being {carlos merlos|name},name of everyone that is {reporting|manager} {Donovan Chang|name}
find me the {race|racedesc} of {taylor|name},What {ratio|function} of employees are not {male|sex}?,Who is our {highest|extreme} employee?,Tell me about {Maryellen Jackson|name}'s {every hour|time_recur} {earning|money}?,how much do {non us citizen|citizendesc} {earn|money} on {average|function} {hourly|time_recur},{earnings|money} of {non us citizen|citizendesc} people,,,{immigrant|citizendesc} employees were {fired|employment_action} in the {last|date_compare} {five years|sys_duration}?,What is {jumil|name}'s {manager|manager}'s name?,for which of our employees is {Earnest Hankard|name} the {manager name|manager}
Where is {judy jung|name} from?,{distribution|function} of {47|age} year old employees?,List of {oldest|extreme} workers,What does the {payroll|money} say about {Barbara Gaul|name}'s {earning|money},{non citizen|citizendesc} {pay|money} {sum|function},{us citizen|citizendesc} workers who {makes|money} the {least|extreme},,,get me a list of {not a citizen|citizendesc} workersthat have their {birthdays|dob} in the {1970's|time_interval},{patrick|name} {manager|manager} name,does {Edward True|name} {lead|manager} {hannah|name}
state of {nan singh|name},what {percent|function} of employees {joined us|employment_action} as a result of a {newspager/magazine|employee_source}?,list of {shared services manager|position},What is {Julia Soto|name}'s {pay|money}?,{citizen|citizendesc} {pay|money} {sum|function},{paychecks|money} {immigrants|citizendesc},,,which {immigrants|citizendesc} people have a {birthday|dob} in {1960|time_interval},I wanna get a list of all of the employees that are currently {manage|manager} {caroline|name},is {andrew|name} the {manage|manager} for {rachael baczenski|name}
did {Jeremy Prater|name} hear about us through {website banner ads|employee_source}?,{How many|function} employees are {over|comparator} the {age of|age} {30|sys_number}?,Which employees are {male|sex}?,whats {jordan |name}'s exact {income|money} in {paycheck|money}?,how much do {non-citizens|citizendesc} {earn|money} on {average|function} {hourly|time_recur},{not a citizen|citizendesc} workers {salaries|money},,,which {non citizen|citizendesc} workers {joined|employment_action} in {2012|sys_time},"{Kara|name} does {work for|manager} who, I want the name",get me a list of all of the employees that are currently {reporting|manager} directly to {Lisa|name}
